tempo,ax,ay,az,acao
258.0,-4.95,6.89,-4.37,engolir_seco
260.0,-4.92,6.86,-4.38,engolir_seco
262.0,-4.94,6.88,-4.35,engolir_seco
264.0,-4.94,6.89,-4.36,engolir_seco
266.0,-4.92,6.89,-4.35,engolir_seco
268.0,-4.92,6.89,-4.39,engolir_seco
270.0,-4.93,6.9,-4.35,engolir_seco
272.0,-4.92,6.89,-4.36,engolir_seco
274.0,-4.93,6.88,-4.38,engolir_seco
276.0,-4.93,6.86,-4.36,engolir_seco
278.0,-4.93,6.88,-4.4,engolir_seco
280.0,-4.92,6.89,-4.37,engolir_seco
282.0,-4.93,6.88,-4.38,engolir_seco
284.0,-4.93,6.9,-4.34,engolir_seco
286.0,-4.92,6.88,-4.38,engolir_seco
288.0,-4.93,6.85,-4.41,engolir_seco
290.0,-4.94,6.91,-4.33,engolir_seco
292.0,-4.91,6.89,-4.39,engolir_seco
294.0,-4.96,6.89,-4.36,engolir_seco
296.0,-4.93,6.89,-4.36,engolir_seco
298.0,-4.92,6.89,-4.37,engolir_seco
300.0,-4.94,6.85,-4.43,engolir_seco
302.0,-4.91,6.94,-4.33,engolir_seco
304.0,-4.97,6.88,-4.35,engolir_seco
306.0,-4.92,6.85,-4.39,engolir_seco
308.0,-4.92,6.91,-4.33,engolir_seco
310.0,-4.9,6.9,-4.36,engolir_seco
312.0,-4.95,6.86,-4.41,engolir_seco
314.0,-4.93,6.93,-4.32,engolir_seco
316.0,-4.87,6.9,-4.39,engolir_seco
318.0,-4.94,6.89,-4.39,engolir_seco
320.0,-4.94,6.86,-4.36,engolir_seco
322.0,-4.91,6.88,-4.36,engolir_seco
324.0,-4.93,6.91,-4.33,engolir_seco
384.0,-4.9,6.85,-4.42,bebendo
386.0,-4.95,6.92,-4.32,bebendo
388.0,-4.88,6.9,-4.42,bebendo
390.0,-4.94,6.89,-4.37,bebendo
392.0,-4.92,6.85,-4.39,bebendo
394.0,-4.93,6.89,-4.35,bebendo
396.0,-4.95,6.9,-4.31,bebendo
398.0,-4.88,6.89,-4.4,bebendo
400.0,-4.9,6.87,-4.38,bebendo
402.0,-4.92,6.88,-4.34,bebendo
404.0,-4.92,6.87,-4.36,bebendo
406.0,-4.9,6.91,-4.37,bebendo
408.0,-4.92,6.89,-4.36,bebendo
410.0,-4.91,6.88,-4.34,bebendo
412.0,-4.92,6.88,-4.36,bebendo
414.0,-4.9,6.88,-4.38,bebendo
416.0,-4.93,6.88,-4.37,bebendo
418.0,-4.92,6.84,-4.42,bebendo
420.0,-4.99,6.9,-4.32,bebendo
422.0,-4.9,6.86,-4.43,bebendo
424.0,-4.9,6.89,-4.36,bebendo
426.0,-4.95,6.86,-4.42,bebendo
428.0,-4.94,6.9,-4.37,bebendo
430.0,-4.91,6.89,-4.41,bebendo
432.0,-4.98,6.86,-4.32,bebendo
434.0,-4.9,6.86,-4.38,bebendo
436.0,-4.92,6.89,-4.35,bebendo
438.0,-4.94,6.89,-4.36,bebendo
440.0,-4.9,6.86,-4.41,bebendo
442.0,-4.92,6.91,-4.36,bebendo
444.0,-4.81,6.96,-4.42,bebendo
446.0,-5.09,6.88,-4.26,bebendo
448.0,-4.93,6.82,-4.45,bebendo
450.0,-4.9,6.93,-4.29,bebendo
452.0,-4.75,6.86,-4.52,bebendo
454.0,-5.01,6.93,-4.19,bebendo
456.0,-4.95,6.83,-4.44,bebendo
458.0,-4.94,6.84,-4.42,bebendo
460.0,-4.86,6.9,-4.39,bebendo
462.0,-4.85,7.03,-4.24,bebendo
464.0,-4.9,6.89,-4.54,bebendo
466.0,-4.98,6.92,-4.3,bebendo
468.0,-4.96,7.01,-4.34,bebendo
470.0,-4.98,6.84,-4.13,bebendo
472.0,-4.81,6.85,-4.48,bebendo
474.0,-4.81,6.81,-4.56,bebendo
476.0,-4.76,7.27,-3.96,bebendo
478.0,-4.83,6.86,-4.85,bebendo
480.0,-5.3,7.01,-3.86,bebendo
482.0,-4.81,6.61,-4.79,bebendo
484.0,-4.78,7.01,-4.28,bebendo
486.0,-4.98,6.7,-4.5,bebendo
488.0,-5.2,6.73,-4.31,bebendo
490.0,-4.75,6.97,-4.5,bebendo
492.0,-5.14,6.86,-4.2,bebendo
494.0,-4.78,6.84,-4.56,bebendo
496.0,-5.1,6.88,-4.24,bebendo
498.0,-4.67,6.99,-4.41,bebendo
500.0,-4.87,6.99,-4.25,bebendo
502.0,-5.0,6.75,-4.47,bebendo
504.0,-5.06,6.78,-4.35,bebendo
506.0,-4.94,6.88,-4.37,bebendo
